-313129425,  State-gov, Bachelors, Never-married, United-States, White, 0<..<40, 1****, Not-in-family, Male, <=50K
-115055906,  Private, Bachelors, Married-civ-spouse, United-States, Black, 40<..<80, 1****, Husband, Male, <=50K
-2055210696,  Private, Some-college, Divorced, Japan, Asian-Pac-Islander, 0<..<40, 7****, Not-in-family, Female, <=50K
-96347017,  Private, 1st-4th, Married-spouse-absent, Mexico, White, 40<..<80, 3****, Unmarried, Male, <=50K
1725140710,  Private, 7th-8th, Married-civ-spouse, United-States, White, 40<..<80, 3****, Husband, Male, <=50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 3****, Not-in-family, Male, <=50K
-864173078,  Self-emp-not-inc, Bachelors, Married-civ-spouse, United-States, White, 0<..<40, 9****, Husband, Male, >50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 7****, Husband, Male, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 0<..<40, 6****, Husband, Male, <=50K
-1050337580,  Self-emp-not-inc, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 8****, Husband, Male, <=50K
737985,  Private, 11th, Married-civ-spouse, United-States, White, 0<..<40, 2****, Husband, Male, <=50K
-745176806,  Private, Assoc-voc, Married-civ-spouse, United-States, White, 0<..<40, 7****, Husband, Male, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 0<..<40, 7****, Husband, Male, >50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 40<..<80, 8****, Husband, Male, >50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 4****, Husband, Male, <=50K
-518722955,  Local-gov, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 9****, Husband, Male, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 40<..<80, 5****, Husband, Male, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 1****, Not-in-family, Female, <=50K
-1850181000,  State-gov, 10th, Married-civ-spouse, United-States, White, 0<..<40, ****, Husband, Male, <=50K
294374391,  Private, HS-grad, Married-civ-spouse, United-States, Black, 0<..<40, 8****, Husband, Male, <=50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 6****, Own-child, Male, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 3****, Husband, Male, >50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 8****, Own-child, Female, <=50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, 7****, Husband, Male, <=50K
1835191412,  Private, HS-grad, Never-married, United-States, Black, 0<..<40, 2****, Not-in-family, Female, >50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 1****, Own-child, Female, <=50K
209709003,  Private, Assoc-voc, Divorced, United-States, White, 0<..<40, 5****, Own-child, Male, <=50K
-1548817325,  Federal-gov, Bachelors, Never-married, United-States, Black, 0<..<40, 9****, Own-child, Female, <=50K
373093646,  Private, 5th-6th, Married-civ-spouse, Mexico, White, 0<..<40, 2****, Husband, Male, <=50K
1181292794,  Private, Assoc-voc, Never-married, England, Black, 0<..<40, 6****, Not-in-family, Female, <=50K
278387521,  Private, 12th, Never-married, United-States, White, 0<..<40, ****, Own-child, Male, <=50K
-1894616390,  Private, HS-grad, Divorced, United-States, Black, 40<..<80, 2****, Unmarried, Female, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 6****, Husband, Male, >50K
-729098881,  Private, Bachelors, Never-married, United-States, White, 0<..<40, 1****, Own-child, Male, >50K
-1494511370,  Private, HS-grad, Divorced, United-States, White, 0<..<40, ****, Unmarried, Female, >50K
603662050,  Private, HS-grad, Married-spouse-absent, United-States, White, 40<..<80, 6****, Not-in-family, Female, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 7****, Own-child, Male, >50K
901497633,  Private, Bachelors, Widowed, United-States, White, 40<..<80, 4****, Not-in-family, Female, <=50K
-627164221,  Private, 9th, Never-married, United-States, White, 0<..<40, 7****, Not-in-family, Male, <=50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 0<..<40, 5****, Husband, Male, >50K
-403795108,  State-gov, Some-college, Never-married, United-States, White, 0<..<40, 6****, Own-child, Female, >50K
761343843,  Private, Prof-school, Married-civ-spouse, United-States, White, 40<..<80, 2****, Husband, Male, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 0<..<40, 5****, Husband, Male, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 8****, Own-child, Female, >50K
1560563038,  Self-emp-not-inc, Prof-school, Married-civ-spouse, United-States, White, 0<..<40, 2****, Husband, Male, <=50K
101443574,  State-gov, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, 4****, Husband, Male, <=50K
2002524223,  Private, Prof-school, Never-married, United-States, White, 0<..<40, 4****, Not-in-family, Male, >50K
-87917796,  Private, HS-grad, Married-civ-spouse, United-States, Other, 40<..<80, 3****, Husband, Male, <=50K
-745176806,  Private, Assoc-voc, Married-civ-spouse, United-States, White, 0<..<40, 9****, Husband, Male, <=50K
-1972576850,  Private, 9th, Married-civ-spouse, China, Asian-Pac-Islander, 40<..<80, ****, Other-relative, Female, <=50K
1665350771,  Private, HS-grad, Never-married, Haiti, Black, 40<..<80, 5****, Not-in-family, Male, >50K
-1800937195,  State-gov, 12th, Never-married, United-States, Black, 0<..<40, 9****, Not-in-family, Female, <=50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, 4****, Husband, Male, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 3****, Husband, Male, <=50K
-1642651670,  Self-emp-not-inc, Bachelors, Married-civ-spouse, Puerto-Rico, Other, 0<..<40, 5****, Husband, Male, <=50K
909333798,  Private, Some-college, Separated, United-States, White, 40<..<80, 8****, Not-in-family, Female, <=50K
-745176806,  Private, Assoc-voc, Married-civ-spouse, United-States, White, 40<..<80, 1****, Husband, Male, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 1****, Husband, Male, <=50K
-1644707652,  Private, Assoc-voc, Never-married, United-States, White, 0<..<40, 2****, Own-child, Female, <=50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 1****, Own-child, Female, <=50K
116555606,  Private, Assoc-acdm, Never-married, United-States, White, 0<..<40, 9****, Not-in-family, Male, <=50K
1985366236,  Self-emp-inc, Bachelors, Married-civ-spouse, United-States, White, 0<..<40, 1****, Husband, Male, <=50K
-1191996232,  Self-emp-not-inc, 10th, Never-married, United-States, White, 0<..<40, ****, Own-child, Male, <=50K
-1995549745,  Private, Assoc-voc, Never-married, United-States, Black, 0<..<40, 5****, Other-relative, Male, <=50K
717962852,  State-gov, HS-grad, Widowed, United-States, White, 40<..<80, 9****, Not-in-family, Female, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 5****, Husband, Male, >50K
-845492304,  Private, Bachelors, Divorced, United-States, White, 40<..<80, 2****, Not-in-family, Male, >50K
-745176806,  Private, Assoc-voc, Married-civ-spouse, United-States, White, 0<..<40, ****, Husband, Male, >50K
894048737,  Private, Some-college, Divorced, United-States, White, 40<..<80, 9****, Not-in-family, Male, <=50K
294374391,  Private, HS-grad, Married-civ-spouse, United-States, Black, 0<..<40, 2****, Husband, Male, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 7****, Not-in-family, Male, >50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 0<..<40, 4****, Husband, Male, <=50K
912450449,  Private, 10th, Never-married, United-States, White, 0<..<40, 1****, Unmarried, Female, <=50K
1906696343,  Private, Masters, Married-civ-spouse, United-States, White, 40<..<80, 4****, Husband, Male, >50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 9****, Unmarried, Male, >50K
655741241,  Self-emp-inc, Some-college, Married-civ-spouse, United-States, White, 40<..<80, 4****, Husband, Male, >50K
1542432324,  Local-gov, 10th, Never-married, United-States, White, 0<..<40, 6****, Not-in-family, Male, <=50K
2067453836,  State-gov, Some-college, Married-civ-spouse, United-States, White, 0<..<40, 8****, Husband, Male, <=50K
737985,  Private, 11th, Married-civ-spouse, United-States, White, 0<..<40, 2****, Husband, Male, <=50K
-829482576,  Local-gov, Masters, Never-married, Germany, White, 0<..<40, 4****, Not-in-family, Female, <=50K
-729098881,  Private, Bachelors, Never-married, United-States, White, 0<..<40, 3****, Not-in-family, Male, <=50K
642312199,  Private, 10th, Married-civ-spouse, United-States, White, 0<..<40, 4****, Husband, Male, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 1****, Not-in-family, Male, >50K
1371072557,  Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, United-States, White, 0<..<40, 5****, Wife, Female, <=50K
894048737,  Private, Some-college, Divorced, United-States, White, 40<..<80, 1****, Unmarried, Female, <=50K
-475746868,  Self-emp-not-inc, Some-college, Never-married, United-States, White, 40<..<80, ****, Not-in-family, Female, <=50K
-729098881,  Private, Bachelors, Never-married, United-States, White, 0<..<40, 9****, Not-in-family, Male, >50K
1906696343,  Private, Masters, Married-civ-spouse, United-States, White, 40<..<80, 9****, Husband, Male, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 8****, Husband, Male, <=50K
-200729826,  Self-emp-not-inc, Masters, Married-civ-spouse, United-States, White, 40<..<80, 4****, Husband, Male, <=50K
-313129425,  State-gov, Bachelors, Never-married, United-States, White, 0<..<40, 4****, Not-in-family, Male, <=50K
-729098881,  Private, Bachelors, Never-married, United-States, White, 40<..<80, 8****, Not-in-family, Female, <=50K
-403795108,  State-gov, Some-college, Never-married, United-States, White, 0<..<40, 8****, Own-child, Male, <=50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 6****, Not-in-family, Male, <=50K
1959824100,  Federal-gov, Some-college, Married-civ-spouse, United-States, Black, 40<..<80, ****, Husband, Male, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 40<..<80, 3****, Other-relative, Male, <=50K
-845492304,  Private, Bachelors, Divorced, United-States, White, 0<..<40, 7****, Not-in-family, Male, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 3****, Not-in-family, Male, <=50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 3****, Own-child, Female, <=50K
283515841,  Private, 10th, Never-married, United-States, Other, 0<..<40, 8****, Other-relative, Male, <=50K
-1102350874,  Private, Masters, Divorced, United-States, White, 0<..<40, 7****, Own-child, Female, <=50K
603662050,  Private, HS-grad, Married-spouse-absent, United-States, White, 0<..<40, 9****, Not-in-family, Male, <=50K
737985,  Private, 11th, Married-civ-spouse, United-States, White, 0<..<40, 2****, Husband, Male, <=50K
1835191412,  Private, HS-grad, Never-married, United-States, Black, 0<..<40, 5****, Unmarried, Female, <=50K
-115055906,  Private, Bachelors, Married-civ-spouse, United-States, Black, 40<..<80, 1****, Husband, Male, <=50K
-1050337580,  Self-emp-not-inc, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 9****, Husband, Male, <=50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 9****, Own-child, Male, <=50K
654599391,  Private, Doctorate, Married-civ-spouse, United-States, White, 40<..<80, 2****, Husband, Male, <=50K
912450449,  Private, 10th, Never-married, United-States, White, 40<..<80, ****, Unmarried, Male, <=50K
-629062186,  Self-emp-inc, HS-grad, Never-married, India, Asian-Pac-Islander, 0<..<40, 6****, Unmarried, Female, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 0<..<40, 6****, Husband, Male, >50K
1906696343,  Private, Masters, Married-civ-spouse, United-States, White, 40<..<80, 6****, Husband, Male, <=50K
940338559,  Self-emp-not-inc, Masters, Divorced, United-States, White, 40<..<80, 3****, Unmarried, Male, <=50K
894048737,  Private, Some-college, Divorced, United-States, White, 40<..<80, 5****, Not-in-family, Male, <=50K
-403795108,  State-gov, Some-college, Never-married, United-States, White, 0<..<40, 9****, Own-child, Female, <=50K
-518722955,  Local-gov, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 9****, Husband, Male, >50K
631355147,  Private, 5th-6th, Never-married, Cuba, White, 40<..<80, 4****, Not-in-family, Male, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 0<..<40, 8****, Husband, Male, <=50K
737985,  Private, 11th, Married-civ-spouse, United-States, White, 40<..<80, 2****, Husband, Male, <=50K
-1644707652,  Private, Assoc-voc, Never-married, United-States, White, 0<..<40, 1****, Not-in-family, Female, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 1****, Husband, Male, <=50K
1023780591,  Self-emp-not-inc, 7th-8th, Married-civ-spouse, United-States, White, 40<..<80, 2****, Husband, Male, >50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 0<..<40, 7****, Husband, Male, <=50K
1855643991,  Local-gov, Prof-school, Never-married, United-States, White, 40<..<80, 8****, Not-in-family, Male, <=50K
-999621347,  Private, Masters, Married-civ-spouse, El-Salvador, White, 0<..<40, 3****, Husband, Male, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 6****, Own-child, Female, <=50K
281787199,  Federal-gov, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 8****, Husband, Male, <=50K
1835191412,  Private, HS-grad, Never-married, United-States, Black, 0<..<40, 5****, Not-in-family, Female, >50K
1026713003,  State-gov, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 2****, Husband, Male, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 3****, Unmarried, Female, <=50K
-1494511370,  Private, HS-grad, Divorced, United-States, White, 40<..<80, 4****, Not-in-family, Male, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 40<..<80, 7****, Wife, Female, >50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 3****, Not-in-family, Female, <=50K
737985,  Private, 11th, Married-civ-spouse, United-States, White, 0<..<40, 9****, Husband, Male, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 6****, Not-in-family, Male, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 2****, Husband, Male, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 0<..<40, 1****, Wife, Female, >50K
-418428944,  Local-gov, Bachelors, Never-married, United-States, White, 0<..<40, 9****, Not-in-family, Female, <=50K
3191296,  Local-gov, Masters, Never-married, United-States, White, 40<..<80, 7****, Not-in-family, Female, <=50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, 8****, Husband, Male, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 2****, Wife, Female, >50K
1091705218,  Local-gov, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, 9****, Husband, Male, >50K
1637540348,  Self-emp-not-inc, Assoc-voc, Never-married, United-States, White, 0<..<40, 9****, Not-in-family, Male, <=50K
-1838884268,  Private, Some-college, Widowed, United-States, White, 0<..<40, ****, Not-in-family, Female, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 0<..<40, ****, Husband, Male, >50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 6****, Own-child, Female, <=50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 3****, Not-in-family, Male, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 0<..<40, 3****, Husband, Male, <=50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 2****, Own-child, Female, <=50K
1198548684,  Private, 11th, Never-married, United-States, White, 0<..<40, 7****, Unmarried, Female, >50K
-1428794216,  Private, Some-college, Never-married, Nicaragua, White, 0<..<40, 2****, Own-child, Female, <=50K
-745176806,  Private, Assoc-voc, Married-civ-spouse, United-States, White, 0<..<40, 2****, Husband, Male, <=50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 0<..<40, 2****, Husband, Male, >50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 3****, Husband, Male, >50K
1525898106,  Local-gov, Masters, Widowed, United-States, White, 0<..<40, 6****, Not-in-family, Female, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 40<..<80, 4****, Husband, Male, <=50K
1030293897,  Private, 11th, Separated, United-States, White, 0<..<40, 1****, Other-relative, Male, <=50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 0<..<40, 4****, Husband, Male, <=50K
-1644707652,  Private, Assoc-voc, Never-married, United-States, White, 40<..<80, 1****, Not-in-family, Male, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, ****, Husband, Male, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 0<..<40, 4****, Husband, Male, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 6****, Husband, Male, <=50K
-729098881,  Private, Bachelors, Never-married, United-States, White, 0<..<40, 8****, Not-in-family, Male, <=50K
-528655326,  Self-emp-not-inc, Some-college, Married-civ-spouse, United-States, White, 40<..<80, 8****, Husband, Male, >50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 3****, Husband, Male, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 0<..<40, 1****, Husband, Male, <=50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 3****, Unmarried, Male, <=50K
217490037,  State-gov, Doctorate, Married-civ-spouse, United-States, White, 0<..<40, 1****, Husband, Male, <=50K
-729098881,  Private, Bachelors, Never-married, United-States, White, 0<..<40, 7****, Not-in-family, Male, <=50K
-93405487,  Private, HS-grad, Never-married, United-States, Amer-Indian-Eskimo, 40<..<80, 8****, Not-in-family, Male, <=50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, 7****, Husband, Male, >50K
761343843,  Private, Prof-school, Married-civ-spouse, United-States, White, 0<..<40, 5****, Husband, Male, <=50K
1023780591,  Self-emp-not-inc, 7th-8th, Married-civ-spouse, United-States, White, 40<..<80, 3****, Husband, Male, <=50K
323735308,  Private, Bachelors, Married-civ-spouse, Poland, White, 0<..<40, 4****, Wife, Female, >50K
-1864556808,  Private, HS-grad, Separated, China, White, 0<..<40, 5****, Unmarried, Female, <=50K
116555606,  Private, Assoc-acdm, Never-married, United-States, White, 0<..<40, 3****, Not-in-family, Female, <=50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 0<..<40, ****, Husband, Male, <=50K
1369985997,  Federal-gov, HS-grad, Married-civ-spouse, United-States, Black, 40<..<80, ****, Husband, Male, <=50K
1303539613,  Private, 7th-8th, Widowed, Guatemala, White, 40<..<80, 3****, Other-relative, Female, >50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 3****, Not-in-family, Female, >50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 1****, Own-child, Male, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 8****, Unmarried, Female, <=50K
-200729826,  Self-emp-not-inc, Masters, Married-civ-spouse, United-States, White, 0<..<40, 6****, Wife, Female, <=50K
758778184,  Federal-gov, HS-grad, Never-married, United-States, White, 0<..<40, 4****, Not-in-family, Male, >50K
189721956,  State-gov, HS-grad, Married-civ-spouse, United-States, Black, 40<..<80, 2****, Husband, Male, <=50K
-618441475,  Local-gov, Bachelors, Married-civ-spouse, Philippines, Asian-Pac-Islander, 0<..<40, ****, Husband, Male, <=50K
1273736760,  Private, HS-grad, Married-civ-spouse, Mexico, White, 40<..<80, 8****, Husband, Male, <=50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, 6****, Husband, Male, <=50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, 9****, Husband, Male, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 3****, Unmarried, Female, <=50K
-1222531251,  Private, HS-grad, Separated, United-States, White, 40<..<80, 4****, Not-in-family, Female, <=50K
1104039855,  Private, 11th, Divorced, United-States, White, 40<..<80, ****, Not-in-family, Male, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 1****, Not-in-family, Female, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 40<..<80, 5****, Other-relative, Male, <=50K
737985,  Private, 11th, Married-civ-spouse, United-States, White, 0<..<40, 8****, Husband, Male, <=50K
-515315081,  Local-gov, Assoc-acdm, Married-civ-spouse, England, White, 0<..<40, 1****, Husband, Male, <=50K
-550317774,  Private, HS-grad, Widowed, United-States, Amer-Indian-Eskimo, 40<..<80, 9****, Unmarried, Female, <=50K
208939787,  Private, Masters, Never-married, United-States, White, 40<..<80, 6****, Not-in-family, Female, >50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, ****, Husband, Male, >50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 3****, Husband, Male, <=50K
267591473,  Private, 10th, Never-married, United-States, Black, 0<..<40, 7****, Unmarried, Female, <=50K
1725140710,  Private, 7th-8th, Married-civ-spouse, United-States, White, 0<..<40, 9****, Husband, Male, <=50K
101443574,  State-gov, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, 5****, Husband, Male, >50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, ****, Husband, Male, <=50K
-729098881,  Private, Bachelors, Never-married, United-States, White, 0<..<40, 8****, Not-in-family, Female, <=50K
-1312157872,  Federal-gov, Some-college, Married-civ-spouse, United-States, White, 0<..<40, 4****, Husband, Male, <=50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 1****, Not-in-family, Male, <=50K
-1242091055,  Local-gov, HS-grad, Divorced, United-States, White, 0<..<40, 1****, Unmarried, Female, <=50K
-1191691282,  Private, 12th, Separated, United-States, White, 0<..<40, 7****, Own-child, Female, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 5****, Own-child, Female, <=50K
294374391,  Private, HS-grad, Married-civ-spouse, United-States, Black, 0<..<40, 5****, Husband, Male, <=50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, 9****, Husband, Male, >50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 8****, Other-relative, Female, <=50K
-1257888760,  Private, Assoc-acdm, Never-married, United-States, Black, 0<..<40, ****, Not-in-family, Female, >50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 8****, Husband, Male, >50K
1026713003,  State-gov, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 9****, Husband, Male, <=50K
1814250195,  Local-gov, Some-college, Divorced, United-States, Black, 0<..<40, 7****, Unmarried, Female, <=50K
294374391,  Private, HS-grad, Married-civ-spouse, United-States, Black, 0<..<40, 3****, Wife, Female, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 3****, Own-child, Male, <=50K
-845492304,  Private, Bachelors, Divorced, United-States, White, 40<..<80, 3****, Unmarried, Male, <=50K
-545147599,  Private, 5th-6th, Married-civ-spouse, Nicaragua, Other, 40<..<80, 9****, Husband, Male, <=50K
-1494511370,  Private, HS-grad, Divorced, United-States, White, 40<..<80, 3****, Not-in-family, Female, <=50K
-1312157872,  Federal-gov, Some-college, Married-civ-spouse, United-States, White, 40<..<80, 3****, Husband, Male, <=50K
-729098881,  Private, Bachelors, Never-married, United-States, White, 0<..<40, 2****, Not-in-family, Male, >50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 7****, Husband, Male, <=50K
-1615294977,  Without-pay, HS-grad, Never-married, United-States, White, 0<..<40, 7****, Own-child, Male, <=50K
118761521,  State-gov, 11th, Divorced, United-States, White, 0<..<40, ****, Unmarried, Female, <=50K
642312199,  Private, 10th, Married-civ-spouse, United-States, White, 40<..<80, 1****, Husband, Male, >50K
-1050337580,  Self-emp-not-inc, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 1****, Husband, Male, <=50K
1646559586,  Private, 10th, Divorced, United-States, White, 0<..<40, 8****, Not-in-family, Female, <=50K
577295717,  Private, HS-grad, Separated, Japan, White, 0<..<40, 6****, Unmarried, Female, <=50K
-1890403669,  Federal-gov, Masters, Never-married, United-States, White, 0<..<40, 5****, Not-in-family, Male, <=50K
278387521,  Private, 12th, Never-married, United-States, White, 0<..<40, ****, Own-child, Male, <=50K
-1153240738,  Self-emp-not-inc, HS-grad, Married-civ-spouse, England, White, 40<..<80, 5****, Husband, Male, <=50K
-320567406,  Local-gov, HS-grad, Married-civ-spouse, United-States, Amer-Indian-Eskimo, 40<..<80, 5****, Husband, Male, >50K
1104039855,  Private, 11th, Divorced, United-States, White, 0<..<40, 3****, Not-in-family, Male, <=50K
1436240754,  Local-gov, Some-college, Married-civ-spouse, United-States, White, 0<..<40, ****, Husband, Male, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 8****, Husband, Male, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 9****, Husband, Male, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 7****, Own-child, Male, >50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 3****, Own-child, Female, <=50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 0<..<40, 6****, Husband, Male, <=50K
-864173078,  Self-emp-not-inc, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, 7****, Husband, Male, <=50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 7****, Not-in-family, Male, <=50K
769878733,  Local-gov, Masters, Married-civ-spouse, United-States, White, 40<..<80, 7****, Husband, Male, <=50K
644607350,  Federal-gov, Bachelors, Never-married, United-States, Other, 0<..<40, 4****, Not-in-family, Female, <=50K
-845492304,  Private, Bachelors, Divorced, United-States, White, 0<..<40, 7****, Not-in-family, Female, >50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 2****, Wife, Female, <=50K
1698294404,  Self-emp-not-inc, Some-college, Married-civ-spouse, El-Salvador, White, 40<..<80, 6****, Husband, Male, <=50K
192678534,  Private, 7th-8th, Divorced, United-States, White, 0<..<40, 2****, Unmarried, Female, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 5****, Husband, Male, >50K
1646559586,  Private, 10th, Divorced, United-States, White, 40<..<80, 9****, Not-in-family, Male, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 0<..<40, 4****, Husband, Male, <=50K
-1972249158,  Private, 5th-6th, Married-civ-spouse, United-States, White, 40<..<80, 9****, Husband, Male, <=50K
1835191412,  Private, HS-grad, Never-married, United-States, Black, 0<..<40, 4****, Not-in-family, Female, >50K
717635240,  Private, Bachelors, Separated, United-States, White, 40<..<80, 8****, Not-in-family, Female, <=50K
1026713003,  State-gov, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 8****, Husband, Male, <=50K
116555606,  Private, Assoc-acdm, Never-married, United-States, White, 0<..<40, 3****, Not-in-family, Female, >50K
737985,  Private, 11th, Married-civ-spouse, United-States, White, 40<..<80, 1****, Wife, Female, <=50K
-1889145070,  Private, HS-grad, Widowed, United-States, White, 40<..<80, 4****, Unmarried, Female, <=50K
